iter	Logloss
0	0.6095286118
1	0.5401848149
2	0.4824082654
3	0.4319589983
4	0.3896700922
5	0.3506558562
6	0.318453024
7	0.2904630889
8	0.2671179584
9	0.2429524046
10	0.2229320961
11	0.20589703
12	0.1890508534
13	0.1747538094
14	0.1619190623
15	0.1489786393
16	0.1394644555
17	0.1307123119
18	0.1210599461
19	0.1139597525
20	0.1056081544
21	0.09909035895
22	0.09283948544
23	0.08844540697
24	0.08441684635
25	0.07915606451
26	0.07547639984
27	0.07175851392
28	0.06836546309
29	0.06489630613
30	0.06208706829
31	0.06008586298
32	0.05808875157
33	0.05564456946
34	0.05355784624
35	0.05234641643
36	0.05072732773
37	0.04898899962
38	0.04801131014
39	0.04625474705
40	0.04502925047
41	0.04399145837
42	0.04311244175
43	0.04205824177
44	0.04155844761
45	0.0409239196
46	0.04012447931
47	0.03941943074
48	0.03830809761
49	0.03769129379
50	0.03685602544
51	0.0364581311
52	0.03618559191
53	0.03575876695
54	0.03536901812
55	0.03487172815
56	0.03464895638
57	0.03426020578
58	0.03371004075
59	0.03352372924
60	0.03329298745
61	0.03294482034
62	0.03273094582
63	0.03237323913
64	0.03211479676
65	0.03178492768
66	0.03158274508
67	0.03142452839
68	0.03130121034
69	0.0310624385
70	0.03085359911
71	0.03076027538
72	0.03060557686
73	0.0304340258
74	0.03021885805
75	0.03006915171
76	0.02991329411
77	0.02968963226
78	0.02944843893
79	0.02919287074
80	0.0290370906
81	0.0288872983
82	0.02880856399
83	0.02871615133
84	0.02866465157
85	0.02855664293
86	0.02845164846
87	0.02832784035
88	0.02823853131
89	0.02811934113
90	0.02803017741
91	0.0278879867
92	0.02777416153
93	0.0276811361
94	0.02760311114
95	0.02751586376
96	0.02736798377
97	0.02731035608
98	0.02722763201
99	0.02716193402
